Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
TEAVIEW SCHOOL - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,8.6,9.6,9,4,4,0,2,0,0,77,0,0,0,0,0,0,0,0,3,5,RIFT VALLEY,KERICHO,KERICHO,BELGUT,BELGUT,SERETUT,"(-0.42407, 35.21871)",
WILLIAMS JUNIOR PREPARATORY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.1,7,12.3,7,2,2,0,2,0,0,49,0,0,1,7,0,0,0,0,0,2,NAIROBI,NAIROBI,NAIROBI,KASARANI,GITHURAI,KASARANI,"(-1.18894, 36.902774)",
THREE STARS ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.7,21.6,28.8,8,3,3,0,1,0,0,173,0,0,0,0,0,0,6,5,1,4,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.180652, 36.904725)",
BIDII ACA PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,1.7,1.3,2.5,8,2,2,0,2,0,0,10,0,0,0,0,0,0,4,2,0,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NGARUA,LAIKIPIA WEST,SIPILI,"(0.416365, 36.375755)",
FADHILI STAR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,11.7,8.8,35,8,1,1,0,1,0,0,70,0,0,0,0,4,2,0,0,1,2,WESTERN,VIHIGA,VIHIGA,LUANDA,SOUTH WEST BUNYORE,EMUHAYA,"(0.02319, 34.589211)",
STAR OF HOPE PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,47,47,103.4,11,2,3,0,1,0,0,517,4,3,0,0,3,1,0,0,1,4,NAIROBI,NAIROBI,NAIROBI,MAKADARA,VIWANDA,MAKADARA,"(-1.30825, 36.87414)",
KOMOLOK JOY ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,23.5,23.5,11.8,2,2,2,0,2,0,0,47,0,0,0,0,0,0,1,1,1,1,RIFT VALLEY,KERICHO,BURETI,BURETI,BURETI,CHEBORGE,"(-0.580266, 35.141438)",
MISHOMORONI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.1,33.1,23.2,7,5,5,0,4,0,0,232,0,0,0,0,0,0,7,4,2,2,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01897, 39.68296)",
KERUGOYA GOOD SHEPHERED ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.6,30.1,36.5,17,6,8,0,2,0,0,511,0,0,0,0,0,0,17,12,5,7,CENTRAL,KIRINYAGA,KIRINYAGA,CENTRAL-KIRINYAGA,KERUGOYA,KERUGOYA/KUTUS,"(-0.492419, 37.265526)",
GETHSEMAN CHRISTIAN PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.6,17,11.3,4,3,3,0,1,0,0,68,0,0,0,0,0,0,2,3,3,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,KOITOROR,"(0.55583, 35.33446)",
GREEN ANGELS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14,7,8.4,6,2,3,0,1,0,0,42,0,0,0,0,0,0,1,2,0,2,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.276779, 36.891101)",
MERERONI PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,23.8,28.6,33,15,4,9,0,2,0,0,429,7,11,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.290333, 36.180754)",
ABIDA LANGO ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.6,10.2,34,10,1,2,0,1,0,0,102,0,0,0,0,3,4,0,0,1,1,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.08893, 39.66663)",
AGAPE JUNIOR SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,4,6,3,1,1,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,"(-0.35362, 35.2823)",
SUNSHINE MORNING STAR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.5,0,4.8,0,2,2,0,2,0,0,19,0,0,0,0,0,0,0,2,0,0,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,"(0.04402, 36.41933)",
TERESIA'S ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.3,22.6,16.3,13,8,10,0,3,0,0,294,0,0,0,0,0,0,12,6,0,0,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,GILGIL,"(-0.4892, 36.328071)",
CHORONOK ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.8,30,13.3,8,9,9,0,2,0,0,240,0,0,0,0,0,0,8,3,11,4,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,KAPLAMAI,CHERANGANY,KAPLAMAI,"(0.991437, 35.123903)",
MAMUROCK JUNIOR ACADEMY PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.1,13.6,18.2,8,3,3,0,1,0,0,109,0,0,0,0,0,0,4,8,3,0,RIFT VALLEY,LAIKIPIA,LAIKIPIA,CENTRAL - LAIKIPIA,LAIKIPIA EAST,BAHATI,"(0.008644, 37.060851)",
BUSTANI BORA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.9,19,21.7,8,2,5,0,1,0,0,152,0,0,0,0,0,0,8,1,3,2,COAST,KILIFI,KILIFI,BAHARI,TEZO,BAHARI,"(-3.533331, 39.861339)",
ROYAL INTERNATIONAL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,6.3,7.1,14.3,8,2,2,0,2,0,0,57,0,0,4,5,0,0,0,0,1,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,ROYSAMBU,KASARANI,"(-1.212739, 36.89096)",
NAITIRI DAYSTAR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.7,8.6,15,7,2,2,0,1,0,0,60,0,0,0,0,0,0,6,3,1,2,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,NAITIRI,KIMILILI,"(0.76352, 34.889348)",
ARKROAD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,21.8,24.5,24.5,8,4,4,0,2,0,0,196,0,0,0,0,0,0,3,6,3,3,CENTRAL,NYERI,NYERI,KIENI WEST,MWEIGA,KIENI,"(-0.340561388, 36.88901444)",
MTWAPA ELITE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.8,24.3,24.3,12,7,5,0,4,0,0,291,0,0,0,0,0,0,9,5,1,4,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.940647, 39.743237)",
AGAPE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13,13,5.2,2,3,2,0,1,0,0,26,0,0,0,0,0,2,0,0,0,2,WESTERN,BUSIA,BUSIA,TOWNSHIP - BUSIA,TOWNSHIP,NAMBALE,"(0.466176699, 34.10079734)",
MOGRA STAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,44.2,52.5,140,16,3,3,0,2,0,0,840,0,0,0,0,0,0,9,10,3,12,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.250509, 36.869593)",
AKIBA SCHOOL - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.3,15.5,31,8,2,2,0,4,65,59,124,0,0,0,0,4,7,0,0,2,4,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,KANGEMI,WESTLANDS,"(-1.266179, 36.752232)",
SHILOH ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.2,5.5,5.5,2,1,1,0,0,0,0,11,0,0,0,0,0,0,2,3,1,1,WESTERN,KAKAMEGA,BUTERE/MUMIAS,EAST WANGA,LBINU,MUMIAS,"(0.319047927, 34.57193472)",
MARY IMMACULATE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,7,14,2.8,2,2,8,0,2,0,0,28,0,0,0,0,0,0,2,2,2,2,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KIRIMA,GICHUGU,"(-0.449859, 37.293037)",
BLESSED KID PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.539868, 35.241252)",
WORLD HARVEST MISSION CHURCH PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.29018, 36.898443)",
KINGSMEAD JNR ACA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,10.3,6.2,3,2,3,0,1,0,0,31,0,0,0,0,0,0,0,3,4,3,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,RUAKA,KIAMBAA,"(-1.20019, 36.76101)",
NANDI HILLS HIGHVIEW PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,14.5,14.5,6.2,6,6,8,0,4,0,0,87,0,0,0,0,0,0,3,3,3,0,RIFT VALLEY,NANDI,NANDI SOUTH,NANDI HILLS,TINDERET,CHEBARUS,"(0.06263, 35.198412)",
GOOD HOPE JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.8,7.8,15.5,4,1,1,0,1,0,0,31,0,0,0,0,0,0,1,3,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,BAMBURI,KISAUNI,"(-3.96346, 39.72326)",
DAYSTAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.6,12,24,4,1,1,0,1,0,0,48,0,0,0,0,0,0,2,3,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.00514, 39.68389)",
PCEA ELIJAH KAGIRI PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.6,19.6,12.7,11,7,10,18,1,105,111,216,0,0,0,0,0,0,6,7,2,3,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,JUJA,"(-1.042027, 37.082027)",
CRS PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,56.3,56.3,112.7,12,3,3,0,2,0,0,676,6,4,0,0,1,1,0,0,0,3,COAST,KILIFI,MALINDI,MALINDI,GEDE,MALINDI,"(-3.27715, 40.0369)",
BARAKA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.3,13.3,20,3,1,1,0,1,0,0,40,0,0,0,0,2,1,0,0,2,0,WESTERN,KAKAMEGA,KAKAMEGA,SHINYALU,SHIBUYE,SHINYALU,"(0.23016, 34.81324)",
HILL RIDGE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.5,10.5,10.5,2,1,1,0,1,0,0,21,0,0,0,0,0,0,1,1,0,0,CENTRAL,MURANG'A,MARAGUA,KIGUMO,KIGUMO,KIGUMO,"(-0.783523, 36.970046)",
JOY LAND ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,30.9,34.8,34.8,8,4,4,10,2,146,132,278,0,0,0,0,0,0,8,1,4,3,CENTRAL,MURANG'A,THIKA,GATANGA,GATANGA,GATANGA,"(-0.956463, 36.988259)",
LYNKERS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.5,3.7,5.5,3,1,1,0,0,0,0,11,0,0,0,0,0,0,0,2,0,1,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.47662, 36.96068)",
INSIGHT PREPARATORY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,7.3,10.4,7.3,7,5,5,0,1,0,0,73,0,0,0,0,0,0,2,8,1,2,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KAMITI,KIAMBAA,"(-1.15797, 36.88984)",
CONNECTOR ACA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,ELEGEYO-MARAKWET,MARAKWET,KAPCHEROP,MARAKWET WEST,KOISUNGUR,"(1.01829, 35.43026)",
TOGOM ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,9,11.3,5,2,2,0,1,0,0,45,0,0,0,0,0,0,0,0,2,2,RIFT VALLEY,KERICHO,BURETI,RORET,BURETI,CHEMOSOT,"(-0.508353, 35.171605)",
MT SINAI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,10.3,10.3,7,3,4,0,1,0,0,72,0,0,0,0,0,0,0,7,1,1,CENTRAL,KIRINYAGA,KIRINYAGA,NDIA,KIINE NORTH,NDIA,"(-0.56039, 37.18478)",
KIRUNGUBII ACA PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.5,9.5,11.4,6,3,2,0,2,0,0,57,0,0,0,0,0,0,4,2,0,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NGARUA,LAIKIPIA WEST,SIPILI,"(0.42221, 36.358773)",
JOY SHINERS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,22,44,4,1,1,0,3,0,0,88,0,0,0,0,0,0,2,2,0,2,RIFT VALLEY,KERICHO,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,"(-0.36088, 35.27427)",
DESCA JNR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16,19.2,17.5,10,4,7,0,2,0,0,192,0,0,0,0,0,0,3,9,1,2,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,"(-1.31471, 36.9023)",
MARY NYANJEGA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.5,21.7,32.5,9,2,4,0,2,0,0,195,0,0,0,0,0,0,5,5,5,3,CENTRAL,KIAMBU,KIAMBU,KIKUYU,MUGUGA,KABETE,"(-1.23449, 36.68921)",
ALMOND PREP PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.2,24.6,28.7,7,3,3,0,1,0,0,172,0,0,0,0,0,0,5,5,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,KIBOMET,"(1.014623, 35.037362)",
ROCMA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17,17,19.8,7,3,3,0,4,0,0,119,0,0,0,0,0,0,5,2,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,AINABKOI,ELDORET EAST,PLATEAU,"(0.373162, 35.468056)",
BLESSED ACA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,94,23.5,23.5,8,4,4,0,1,0,0,188,0,0,0,0,0,0,0,2,1,1,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIAMBAA,KIAMBAA,"(-1.20147, 36.77974)",
PHILMA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14,12.3,49,8,1,1,0,2,0,0,98,0,0,0,0,0,0,5,2,1,1,WESTERN,KAKAMEGA,LUGARI,MATETE,CHEVAYWA,MALAVA,"(0.56525, 34.8009)",
JABULANII CENTRE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,WAITHAKA,DAGORETTI,"(-1.275016, 36.71869)",
ST JULIET PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.1,26.2,26.2,20,8,12,0,6,246,277,523,0,0,0,0,0,0,9,17,4,6,NAIROBI,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH SOUTH,KAMUKUNJI,"(-1.285248, 36.853173)",
NAMBALE PREPARATORY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.3,27.1,40.7,9,3,3,0,2,0,0,244,0,0,0,0,0,0,5,7,2,5,WESTERN,BUSIA,BUSIA,NAMBALE,NAMBALE T/SHIP,NAMBALE,"(0.448303857, 34.25016122)",
MOSELI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,25.8,34.3,8,3,3,0,2,0,0,206,0,0,0,0,0,0,0,0,3,3,RIFT VALLEY,KERICHO,BURETI,BURETI,BURETI,CHEBWAGAN,"(-0.604978, 35.13699)",
MT. ANGEL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.2,32.4,28.8,8,4,5,12,3,133,126,259,0,0,0,0,0,0,6,10,0,0,CENTRAL,NAIROBI,THIKA,RUIRU,RUIRU,JUJA,"(-1.192267, 36.925442)",
TRANSITION PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.3,11.3,17,6,2,2,0,2,0,0,68,0,0,0,0,0,0,1,5,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.479792, 35.249231)",
MOTHERLAND PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12,12,12,2,1,1,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,WERU,OL_KALOU,"(-0.15624, 36.35937)",
JOY EDUCATION CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.5,4.3,8.5,4,1,1,0,1,0,0,17,0,0,0,0,0,0,1,1,1,1,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.859352, 39.805889)",
GOOD HOPE JOB PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15,3.8,7.5,4,1,1,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,BAMBURI,KISAUNI,"(-3.99594, 39.70331)",
PRUDENCE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.9,16.6,58,7,1,1,0,2,0,0,116,0,0,0,0,0,0,4,5,1,0,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.942237, 39.732161)",
ST. FRANCIS BAHATI PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,47.3,38.9,165.5,17,1,3,0,1,0,0,662,9,5,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.160274, 36.171637)",
MASHUA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,9,18,4,1,1,0,2,0,0,36,0,0,0,0,0,0,2,2,3,4,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,KIPLOMBE,"(0.624944, 35.312468)",
THE SEED ACA. PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.2,5,6.3,5,2,2,0,2,0,0,25,0,0,0,0,0,0,3,3,1,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NGARUA,LAIKIPIA WEST,MUHOTETU,"(0.234645, 36.368297)",
PRILIMO ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12,12,12,8,4,4,0,2,0,0,96,0,0,0,0,0,0,5,3,3,3,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,MOIBEN,"(0.769657, 35.296274)",
HIGHGATE CHILDRENS DEVELOPMENT TRAINING ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,12,3,4,0,1,0,0,0,0,0,0,0,0,0,7,5,2,3,NAIROBI,NAIROBI,NAIROBI,KASARANI,MWIKI,KASARANI,"(-1.227073, 36.923461)",
GALILEE PRI SCH (PRI),PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.284243, 36.913486)",
MARIANNA GLORIOUS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.4,28,37.3,8,3,3,0,1,0,0,224,0,0,0,0,0,0,6,4,2,2,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.940346, 39.733643)",
TOP SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,7,10.5,3,1,1,0,1,0,0,21,0,0,0,0,0,0,1,2,1,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,"(-4.00465, 39.57333)",
MAGOSO PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.9,14.9,67,9,1,1,0,1,0,0,134,0,0,0,0,0,0,6,3,1,2,NAIROBI,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA,"(-1.30789, 36.79242)",
ST. ANGELICA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,15.1,13.6,22.7,10,3,3,0,2,0,0,136,0,0,0,0,0,0,3,6,2,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,WAITALUK,"(0.937869, 35.001753)",
KIWANDA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.5,4.5,4.5,2,1,1,0,1,0,0,9,0,0,0,0,0,0,1,1,0,0,RIFT VALLEY,KERICHO,BURETI,BURETI,BURETI,KAPKATET,"(-0.642318, 35.19391)",
NEWLIGHT ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.2,4,5.3,4,1,2,0,2,0,0,16,0,0,0,0,0,0,0,5,2,0,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,"(-0.433906, 37.326024)",
SUNRISE VALLEY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.6,9.2,5.8,5,4,4,0,2,0,0,46,0,0,0,0,0,0,5,2,3,1,WESTERN,KAKAMEGA,LUGARI,LUGARI,LUMAKANDA,LUGARI,"(0.63169, 34.97496)",
SILVERBECK ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.3,15,15,8,4,4,0,3,0,0,120,0,0,0,0,3,6,0,0,3,3,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KARAI,KABETE,"(-1.27777, 36.65434)",
